City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chicama,-7.8447,-79.1469,26.3,73,90,2.5,PE,1681518509
1,castro,-24.7911,-50.0119,15.63,98,27,0.71,BR,1681518509
2,nikel,69.4128,30.222,0.1,88,6,4.6,RU,1681518510
3,busselton,-33.65,115.3333,15.29,67,95,3.3,AU,1681518510
4,ulladulla,-35.35,150.4667,20.18,55,32,3.06,AU,1681518510
5,guasdualito,7.2424,-70.7324,31.0,48,20,1.03,VE,1681518511
6,rikitea,-23.1203,-134.9692,25.88,72,22,4.31,PF,1681518512
7,hobart,-42.8794,147.3294,16.81,76,75,2.06,AU,1681518512
8,oro valley,32.3909,-110.9665,25.36,19,1,4.92,US,1681518432
9,tasiilaq,65.6145,-37.6368,0.09,82,47,1.97,GL,1681518512
10,isangel,-19.55,169.2667,27.06,94,100,1.54,VU,1681518513
11,samarai,-10.6167,150.6667,28.53,67,100,6.33,PG,1681518513
12,port moresby,-9.4431,147.1797,29.68,66,40,2.57,PG,1681518513
13,tuktoyaktuk,69.4541,-133.0374,-17.0,85,20,5.66,CA,1681518513
14,kingaroy,-26.5333,151.8333,23.09,48,1,2.5,AU,1681518513
15,vestmannaeyjar,63.4427,-20.2734,6.52,72,5,2.8,IS,1681518514
16,ko samui,9.5357,99.9357,28.95,84,21,0.0,TH,1681518514
17,carnarvon,-24.8667,113.6333,16.94,47,0,10.44,AU,1681518514
18,cape town,-33.9258,18.4232,16.88,67,0,6.17,ZA,1681518436
19,molina,-35.1167,-71.2833,14.85,77,100,3.6,CL,1681518515
20,faya,18.3851,42.4509,14.29,61,0,1.04,SA,1681518515
21,piacabucu,-10.4056,-36.4344,25.34,73,55,3.37,BR,1681518515
22,jamestown,42.097,-79.2353,21.8,33,0,4.63,US,1681518515
23,krasnyy chikoy,50.3643,108.7512,-2.01,55,61,2.23,RU,1681518516
24,hermanus,-34.4187,19.2345,13.58,66,32,2.71,ZA,1681518516
25,kapaa,22.0752,-159.319,26.18,71,75,6.17,US,1681518516
26,ahipara,-35.1667,173.1667,19.86,73,100,8.29,NZ,1681518516
27,santa maria,-29.6842,-53.8069,17.61,77,75,3.09,BR,1681518517
28,chuy,-33.6971,-53.4616,12.32,71,17,3.06,UY,1681518517
29,dunedin,-45.8742,170.5036,16.0,64,3,6.26,NZ,1681518517
30,yumen,40.2833,97.2,11.87,14,100,6.35,CN,1681518518
31,alyth,56.6221,-3.2301,5.24,95,93,1.65,GB,1681518518
32,iqaluit,63.7506,-68.5145,-10.15,85,75,9.26,CA,1681518485
33,ushuaia,-54.8,-68.3,3.81,70,0,4.63,AR,1681518518
34,santa cruz de la palma,28.6835,-17.7642,19.08,63,100,4.63,ES,1681518519
35,avarua,-21.2078,-159.775,27.03,61,100,2.57,CK,1681518519
36,klaksvik,62.2266,-6.589,6.51,84,100,8.07,FO,1681518519
37,anadyr,64.75,177.4833,-17.72,77,0,5.0,RU,1681518519
38,roald,62.5833,6.1333,9.31,87,100,4.12,NO,1681518519
39,namibe,-15.1961,12.1522,25.28,73,2,0.88,AO,1681518520
40,dandong,40.1292,124.3947,13.13,67,52,1.8,CN,1681518520
41,new norfolk,-42.7826,147.0587,16.62,75,88,0.45,AU,1681518520
42,fortuna,40.5982,-124.1573,13.85,72,35,1.34,US,1681518521
43,eyl,7.9803,49.8164,27.86,77,73,4.96,SO,1681518521
44,sawtell,-30.3833,153.1,23.99,49,20,3.6,AU,1681518521
45,ocala,29.1872,-82.1401,25.55,69,0,2.06,US,1681518460
46,punta arenas,-53.15,-70.9167,5.06,75,75,4.12,CL,1681518522
47,mount gambier,-37.8333,140.7667,14.62,92,100,1.96,AU,1681518522
48,suntar,62.1444,117.6319,-2.19,87,48,3.62,RU,1681518522
49,port alfred,-33.5906,26.891,13.43,77,48,2.68,ZA,1681518523
50,sai buri,6.7013,101.6168,25.84,88,62,2.06,TH,1681518523
51,kavieng,-2.5744,150.7967,28.63,76,100,3.59,PG,1681518523
52,narsaq,60.9167,-46.05,5.12,59,100,5.71,GL,1681518523
53,upernavik,72.7868,-56.1549,-13.64,98,74,4.25,GL,1681518524
54,osorno,-40.5667,-73.15,11.17,62,0,0.0,CL,1681518312
55,severnyy-kospashskiy,59.0925,57.8008,-10.29,95,11,1.34,RU,1681518524
56,calama,-22.4667,-68.9333,15.27,14,0,2.57,CL,1681518248
57,sioux lookout,50.1001,-91.917,4.04,81,100,2.06,CA,1681518525
58,dudinka,69.4058,86.1778,-22.76,99,100,1.77,RU,1681518525
59,susangerd,31.5608,48.1831,18.55,49,2,4.7,IR,1681518525
60,walcz,53.2779,16.4712,8.83,84,100,5.56,PL,1681518525
61,nikolskoye,59.7035,30.7861,1.0,58,100,3.53,RU,1681518525
62,puerto ayora,-0.7393,-90.3518,28.08,89,87,0.89,EC,1681518307
63,cabo san lucas,22.8909,-109.9124,28.12,58,20,8.75,MX,1681518341
64,concepcion del oro,24.6333,-101.4167,21.11,16,100,10.75,MX,1681518526
65,atuona,-9.8,-139.0333,26.67,70,11,1.9,PF,1681518526
66,saint-philippe,-21.3585,55.7679,24.77,73,35,2.88,RE,1681518526
67,hovd,48.0056,91.6419,6.72,40,100,2.22,MN,1681518527
68,saskylakh,71.9167,114.0833,-6.5,91,57,7.79,RU,1681518527
69,longyearbyen,78.2186,15.6401,0.91,86,20,0.51,SJ,1681518527
70,saint george,37.1041,-113.5841,20.24,15,0,9.77,US,1681518312
71,vaini,-21.2,-175.2,30.09,74,75,6.69,TO,1681518527
72,bredasdorp,-34.5322,20.0403,11.97,66,15,0.71,ZA,1681518528
73,melville,40.7934,-73.4151,22.75,68,0,4.63,US,1681518528
74,hilo,19.7297,-155.09,26.85,68,0,6.17,US,1681518401
75,inuvik,68.3499,-133.7218,-13.58,66,75,4.12,CA,1681518528
76,havoysund,70.9963,24.6622,1.13,56,0,3.09,NO,1681518528
77,kahului,20.8947,-156.47,27.01,65,40,8.75,US,1681518529
78,dikson,73.5069,80.5464,-20.0,97,100,5.88,RU,1681518529
79,mahebourg,-20.4081,57.7,25.14,94,40,1.54,MU,1681518529
80,tessalit,20.1986,1.0114,27.24,11,10,3.88,ML,1681518530
81,kieta,-6.2167,155.6333,28.7,69,94,1.28,PG,1681518530
82,nishihara,26.1842,127.7558,24.03,97,100,5.66,JP,1681518316
83,sao filipe,14.8961,-24.4956,23.94,79,21,1.79,CV,1681518530
84,zwedru,6.0667,-8.1281,23.68,95,100,1.58,LR,1681518531
85,bluff,-46.6,168.3333,14.62,68,1,1.74,NZ,1681518531
86,breves,-1.6822,-50.4803,24.9,82,93,1.17,BR,1681518531
87,torbay,47.6666,-52.7314,2.54,88,100,7.2,CA,1681518531
88,bengkulu,-3.8004,102.2655,24.69,85,94,1.59,ID,1681518531
89,puertollano,38.6871,-4.1073,11.64,93,83,2.31,ES,1681518531
90,qaanaaq,77.484,-69.3632,-13.82,74,35,1.89,GL,1681518532
91,puerto leguizamo,-0.1934,-74.7819,25.28,86,98,0.4,CO,1681518532
92,senno,59.5336,33.9167,-0.97,59,95,3.54,RU,1681518532
93,severo-kurilsk,50.6789,156.125,1.55,99,100,4.78,RU,1681518532
94,cidreira,-30.1811,-50.2056,19.66,71,100,4.26,BR,1681518532
95,ilulissat,69.2167,-51.1,-2.99,93,33,2.06,GL,1681518532
96,broken hill,-31.95,141.4333,15.14,80,100,6.76,AU,1681518532
97,komsomolskiy,40.4272,71.7189,20.4,45,81,6.17,UZ,1681518533
98,vardo,70.3705,31.1107,-3.01,63,1,9.26,NO,1681518533
99,urkarakh,42.163,47.6307,3.09,60,64,2.14,RU,1681518533
100,wollongong,-34.4333,150.8833,23.29,67,55,2.64,AU,1681518252
101,zhezkazgan,47.8043,67.7144,13.33,72,87,7.16,KZ,1681518534
102,faanui,-16.4833,-151.75,26.96,75,12,3.16,PF,1681518534
103,taltal,-25.4,-70.4833,19.95,71,5,2.26,CL,1681518534
104,storforshei,66.4043,14.5233,3.88,48,75,6.17,NO,1681518534
105,geraldton,-28.7667,114.6,16.23,55,98,5.66,AU,1681518534
106,provideniya,64.3833,-173.3,-11.01,69,0,2.37,RU,1681518535
107,barrow,71.2906,-156.7887,-18.99,78,0,4.12,US,1681518535
108,hualmay,-11.0964,-77.6139,24.36,80,92,5.74,PE,1681518535
109,mataura,-46.1927,168.8643,16.8,56,2,1.55,NZ,1681518536
110,berlevag,70.8578,29.0864,-1.0,55,2,4.63,NO,1681518536
111,auki,-8.7676,160.7034,25.82,87,100,5.93,SB,1681518536
112,szendro,48.4,20.7333,5.55,95,81,0.81,HU,1681518536
113,sungaipenuh,-2.0833,101.3833,18.54,93,100,0.44,ID,1681518536
114,oranjestad,12.524,-70.027,26.97,82,20,9.26,AW,1681518523
115,bubaque,11.2833,-15.8333,24.96,78,18,4.75,GW,1681518537
116,alice springs,-23.7,133.8833,16.75,100,100,3.09,AU,1681518537
117,dharchula,29.85,80.5333,18.34,32,84,3.11,IN,1681518537
118,bathsheba,13.2167,-59.5167,26.34,78,40,6.17,BB,1681518537
119,albany,42.6001,-73.9662,24.21,46,86,1.34,US,1681518335
120,osoyoos,49.0331,-119.4524,15.23,29,29,3.09,CA,1681518538
121,yarada,17.65,83.2667,28.58,60,70,3.47,IN,1681518538
122,victoria,22.2855,114.1577,26.35,87,17,1.34,HK,1681518474
123,lebu,-37.6167,-73.65,12.04,84,1,6.93,CL,1681518538
124,rio grande,-32.035,-52.0986,16.06,66,13,4.52,BR,1681518539
125,charagua,-19.8,-63.2167,14.38,95,100,1.81,BO,1681518539
126,znamenskoye,57.1281,73.8282,-10.42,73,17,2.98,RU,1681518539
127,yellowknife,62.456,-114.3525,1.29,69,40,5.14,CA,1681518539
128,zhangye,38.9342,100.4517,10.68,21,66,3.09,CN,1681518540
129,portland,45.5234,-122.6762,16.33,44,20,2.24,US,1681518297
